signature_method,classifier,n_features_mean,roc_auc_mean,roc_auc_std,auprc_mean,auprc_std,f1_score_mean,f1_score_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,features_count,features
XGB_Importance_t40,RandomForest,19.325,0.7081410256410257,0.09672452281145526,0.6764506543783574,0.09042028115652184,0.6084199819134366,0.11411125305066844,0.658399209486166,0.09043476799120492,0.6324390886890887,0.11430996727095409,0.605,0.15681117176318654,0.7033653846153847,0.12888533803183838,17,"Bcells CD27posIgDneg_total, CD4 Tconv_CD3, Tconv memTIGIT_CD3, Tconv naive_CD3, CD8 RO CD56_CD3, CD8 RO DR_CD3, CD16mono_myeloid, CD27IgD_Bcells, CD27negIgDneg_Bcells, Tconv memPD1_total, Tconv memTIGIT_total, Bcells_total, CD8pos_CD3, CD16mono_CD3neg, CD4 Tconv_total, Tconv memCXCR3_total, NK Ki67_total"
RF_Importance_t70,RandomForest,16.175,0.7073958333333333,0.10221949595184077,0.6650241959034444,0.09878007331210618,0.609669120682043,0.13008002679653166,0.6641798418972332,0.1036105521646342,0.6410662948162947,0.12694563080051255,0.6,0.16794382455192633,0.7166666666666666,0.13356797994444916,13,"Bcells CD27posIgDneg_total, CD4 Treg _CD3, CD8 RO CXCR3_CD3, CD8 RO DR_CD3, CD4 Treg_CD4, Tconv memCD27_Tconv, Tconv memCXCR3_Tconv, Tconv naive_Tconv, Tconv memCXCR3_mem, CD16mono_myeloid, CD27IgD_Bcells, naive_Bcells, Tconv naive_total"
All Features (Baseline),XGBoost,166.0,0.7046474358974358,0.09810401816411862,0.673045681856432,0.08830681909532184,0.5867365912698899,0.11146569719677085,0.6382411067193676,0.09703057268097508,0.6184720140970141,0.1362110203730834,0.5800000000000001,0.14535544409551754,0.6862179487179487,0.14597401476772184,166,"CD3pos_total, CD4 Tconv_total, CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR5_total, Tconv memCCR6_total, Tconv memCD27_total, Tconv memCD56_total, Tconv memCXCR3_total, Tconv memDR_total, Tconv memintB7_total, Tconv memKi67_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total, Treg naive_total, Treg memory_total, CD4neg_total, CD3hi_total, CD8pos_total, CD8 RA_total, CD8 RA naive_total, CD8 RO_total, CD8 RO CCR4_total, CD8 RO CCR5_total, CD8 RO CCR6_total, CD8 RO CD27_total, CD8 RO CD56_total, CD8 RO CXCR3_total, CD8 RO DR_total, CD8 RO intB7_total, CD8 RO Ki67_total, CD8 RO PD1_total, CD8 RO TIGIT_total, CD3neg_total, nonTnonB_total, NK_total, NKCD16_total, NKCD56hi_total, NK Ki67_total, myeloid_total, CD14mono_total, CD16+mono_total, CD14+16+mono_total, Bcells_total, Bcells CD27posIgDneg_total, Bcells CD27negIgDneg_total, Bcells Ki67_total, Bcells memory_total, Bcells naive_total, CD4 Tconv_CD3, Tconv mem_CD3, Tconv memCCR4_CD3, Tconv memCCR5_CD3, Tconv memCCR6_CD3, Tconv memCD27_CD3, Tconv memCD56_CD3, Tconv memCXCR3_CD3, Tconv memDR_CD3, Tconv memintB7_CD3, Tconv memKi67_CD3, Tconv memPD1_CD3, Tconv memTIGIT_CD3, Tconv naive_CD3, CD4 Treg _CD3, Treg naive_CD3, Treg memory_CD3, CD4neg_CD3, CD3hi_CD3, CD8pos_CD3, CD8 RA_CD3, CD8 RA naive_CD3, CD8 RO_CD3, CD8 ncytotox RO CCR4_CD3, CD8 RO CCR5_CD3, CD8 RO CCR6_CD3, CD8 RO CD27_CD3, CD8 RO CD56_CD3, CD8 RO CXCR3_CD3, CD8 RO DR_CD3, CD8 RO intB7_CD3, CD8  RO Ki67_CD3, CD8 RO PD1_CD3, CD8 RO TIGIT_CD3, CD4 Treg_CD4, Treg naive_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memCCR4_Tconv, Tconv memCCR5_Tconv, Tconv memCCR6_Tconv, Tconv memCD27_Tconv, Tconv memCD56_Tconv, Tconv memCXCR3_Tconv, Tconv memDR_Tconv, Tconv memintB7_Tconv, Tconv memKi67_Tconv, Tconv memPD1_Tconv, Tconv memTIGIT_Tconv, Tconv naive_Tconv, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memCD27_mem, Tconv memCD56_mem, Tconv memCXCR3_mem, Tconv memDR_mem, Tconv memintB7_mem, Tconv memKi67_mem, Tconv memPD1_mem, Tconv memTIGIT_mem, CD3hi_CD4neg, CD8 RA_CD8, CD8 RA CCR7 naive_CD8, CD8 RO_CD8, CD8 ncytotox RO CCR4_CD8ntox, CD8 RO CCR5_CD8, CD8 RO CCR6_CD8, CD8 RO CD27_CD8, CD8 RO CD56_CD8, CD8 RO CXCR3_CD8, CD8 RO DR_CD8, CD8 RO intB7_CD8, CD8 RO Ki67_CD8, CD8 RO PD1_CD8, CD8 RO TIGIT_CD8, CCR4_CD8RO, CCR5_CD8RO, CCR6_CD8RO, CD27_CD8RO, CD56_CD8RO, CXCR3_CD8RO, DR_CD8RO, intB7_CD8RO, Ki67_CD8RO, PD1_CD8RO, TIGIT_CD8RO, nonTnonB_CD3neg, NK_CD3neg, NKCD16_CD3neg, NKCD56hi_CD3neg, NK Ki67_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD16mono_CD3neg, CD14+16+mono_CD3neg, Bcells_CD3neg, Bcells Ki67_CD3neg, Bcells memory_CD3neg, Bcells naive_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD56hi_nonTnonB, NK Ki67_nonTnonB, NKCD16_NK, NKCD56hi_NK, NK Ki67_NK, CD14mono_myeloid, CD16mono_myeloid, CD14+16+mono_myeloid, CD27IgD_Bcells, CD27negIgDneg_Bcells, Ki67_Bcells, memory_Bcells, naive_Bcells"
FDR (p < 0.05)_t50,RandomForest,12.425,0.7045272435897436,0.10264684746492837,0.6661115181207009,0.09795062439985114,0.6073853205244374,0.12226969012119931,0.6496541501976284,0.10874860508435837,0.6220596764346764,0.13167564324997624,0.6125,0.15719904090527542,0.6806089743589744,0.14431119461233707,1,Bcells CD27posIgDneg_total
RFE (RandomForest)_t80,XGBoost,33.825,0.7034294871794872,0.1085490355953343,0.6747603029070547,0.10267569224949533,0.6041641079564757,0.10884074016337682,0.6472332015810277,0.09353057540116762,0.615935939060939,0.11144858108798286,0.6075,0.14212219372328147,0.6801282051282052,0.13269425306739516,5,"Bcells CD27posIgDneg_total, CD16mono_CD3neg, CD16mono_myeloid, CD8 RO CCR5_CD3, CD8 RO DR_CD3"
FDR (p < 0.1)_t60,RandomForest,14.775,0.7016826923076923,0.09190780450164729,0.6493747727109678,0.07818504221197499,0.6023335036062186,0.11693433202892489,0.6492588932806325,0.094612171814602,0.6208876540126541,0.1118049635473012,0.605,0.15350603429214946,0.6854166666666666,0.13667291657772532,2,"Bcells CD27posIgDneg_total, CD16mono_myeloid"
Ridge_Strict_t40,XGBoost,90.325,0.7009775641025641,0.11559973258557568,0.6716797280054826,0.10091102229122625,0.5989506064578248,0.11915830823995703,0.6481719367588934,0.09780009390216796,0.6178458347208347,0.11990735571537582,0.595,0.15182648665921913,0.6923076923076923,0.124874555642489,97,"CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR5_total, Tconv memCD27_total, Tconv memCD56_total, Tconv memDR_total, Tconv memPD1_total, CD4neg_total, CD3hi_total, CD8 RO CCR4_total, CD8 RO CCR5_total, CD8 RO CXCR3_total, CD8 RO Ki67_total, NKCD56hi_total, CD16+mono_total, Bcells CD27negIgDneg_total, Bcells memory_total, Bcells naive_total, Tconv memCCR4_CD3, Tconv memDR_CD3, CD4neg_CD3, CD3hi_CD3, CD8 ncytotox RO CCR4_CD3, CD8 RO CXCR3_CD3, Tconv memCCR6_Tconv, Tconv memDR_Tconv, Tconv memTIGIT_Tconv, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memCXCR3_mem, Tconv memintB7_mem, Tconv memKi67_mem, Tconv memPD1_mem, CD8 RO DR_CD8, CD8 RO intB7_CD8, CD8 RO Ki67_CD8, CCR5_CD8RO, CCR6_CD8RO, CD56_CD8RO, intB7_CD8RO, Ki67_CD8RO, NK Ki67_CD3neg, Bcells memory_CD3neg, NKCD56hi_nonTnonB, NK Ki67_nonTnonB, NKCD16_NK, NKCD56hi_NK, CD14mono_myeloid, CD16mono_myeloid, CD27IgD_Bcells, Ki67_Bcells, memory_Bcells, Tconv memCXCR3_total, CD8 RA naive_total, CD8 RO intB7_total, NK_total, NKCD16_total, CD14+16+mono_total, Bcells CD27posIgDneg_total, Bcells Ki67_total, Tconv memCD56_CD3, Tconv memintB7_CD3, Tconv memPD1_CD3, CD8 RO_CD3, CD8 RO CD27_CD3, CD8 RO intB7_CD3, CD8  RO Ki67_CD3, CD8 RO TIGIT_CD3, Tconv memPD1_Tconv, Tconv memCD27_mem, Tconv memCD56_mem, Tconv memDR_mem, Tconv memTIGIT_mem, CD8 ncytotox RO CCR4_CD8ntox, CD8 RO CCR6_CD8, CD8 RO TIGIT_CD8, CCR4_CD8RO, DR_CD8RO, TIGIT_CD8RO, CD14+16+mono_CD3neg, Bcells Ki67_CD3neg, CD14+16+mono_myeloid, CD8 RO TIGIT_total, Tconv memintB7_Tconv, CD8 RO CD56_CD8, CD8 RO CXCR3_CD8, CXCR3_CD8RO, NK Ki67_total, Tconv memKi67_CD3, CD8 RA naive_CD3, CD8 RO CCR5_CD3, Tconv memKi67_Tconv, CD8 RA CCR7 naive_CD8, Bcells naive_CD3neg, CD8 RO CD56_total, CD8 RO DR_total, CD8 RO DR_CD3"
RFE (RandomForest)_t70,XGBoost,59.7,0.6996153846153846,0.1069727416240413,0.6720093016181444,0.09813692867723836,0.6069544669334345,0.10690885770458478,0.6570652173913043,0.08507856730147435,0.6333391608391608,0.11261229126463665,0.6025,0.15104337974271687,0.7017628205128206,0.1296352475885846,8,"Bcells CD27posIgDneg_total, CD27IgD_Bcells, CD8 RO DR_CD8, CD16mono_CD3neg, CD16mono_myeloid, CD8 RO CCR5_CD3, CD8 RO DR_CD3, DR_CD8RO"
RF_Importance_t80,RandomForest,9.575,0.6972195512820513,0.1000754476583633,0.6526190369606499,0.09928132712536537,0.5798123485991133,0.13177105824121288,0.6383399209486166,0.09887805782841286,0.6084091602841604,0.12649864233726923,0.575,0.17650452162436564,0.6903846153846154,0.1363936581874778,7,"Bcells CD27posIgDneg_total, Bcells memory_total, Tconv mem_Tconv, Tconv naive_Tconv, nonTnonB_CD3neg, Bcells memory_CD3neg, NKCD16_total"
NaiveBayes_Permutation_AboveMean_t40,XGBoost,75.075,0.6965865384615385,0.09955970979472681,0.6661461648623993,0.09250080456966613,0.5898143124075788,0.12713529032492268,0.6415019762845849,0.09448804842992463,0.6057828976578976,0.11536948780664218,0.5925,0.1700490125424628,0.6820512820512821,0.12336183601505973,65,"Bcells CD27posIgDneg_total, Bcells CD27negIgDneg_total, CD8 RO CCR4_total, Tconv memCD56_total, CD27IgD_Bcells, CD3hi_total, CD8 RO CCR5_CD3, CD27negIgDneg_Bcells, CD16mono_CD3neg, CD3hi_CD3, CD16mono_myeloid, CD8 RO CCR5_total, NKCD16_NK, NKCD56hi_total, CD8 ncytotox RO CCR4_CD3, Tconv memDR_mem, naive_Bcells, Tconv memCD56_mem, CD8 RA naive_CD3, CD8 RA_CD3, Ki67_Bcells, CD8 RO CD56_total, Tconv memCCR5_mem, Tconv memCCR4_Tconv, CD8pos_total, NKCD56hi_NK, DR_CD8RO, CD8 RO CCR5_CD8, Bcells Ki67_CD3neg, Tconv memCD56_CD3, CD8 RO intB7_CD3, Bcells naive_total, Tconv memDR_total, Treg naive_total, CD8 RO DR_CD8, CD4 Treg _CD3, Tconv memCCR4_CD3, Tconv memCXCR3_Tconv, Tconv memCD56_Tconv, intB7_CD8RO, CD8  RO Ki67_CD3, Ki67_CD8RO, Bcells memory_total, Bcells memory_CD3neg, CD8 RO Ki67_CD8, Bcells_total, Tconv memCXCR3_CD3, Tconv mem_CD3, Tconv memCXCR3_total, CD8 RO CD56_CD3, CD14mono_myeloid, NKCD16_nonTnonB, CCR4_CD8RO, NK_nonTnonB, CD4neg_total, Treg memory_CD3, Tconv naive_CD3, Tconv memCCR4_mem, CCR5_CD8RO, CD14+16+mono_CD3neg, CD14+16+mono_total, NK Ki67_NK, CD8 RO intB7_total, Treg memory_CD4, CD4 Treg_CD4"
