signature_method,classifier,n_features_mean,roc_auc_mean,roc_auc_std,auprc_mean,auprc_std,f1_score_mean,f1_score_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,features_count,features
Mutual Information (Top 10%)_t40,SVM_RBF,10.15,0.650462962962963,0.13136054387476465,0.6367493964368964,0.12899083686216517,0.4707875784346373,0.1609465608612752,0.6366666666666667,0.09176956152043236,0.577137445887446,0.19758427306041135,0.4333333333333334,0.19538842897325873,0.7722222222222221,0.15086539432491353,12,"CD16mono_CD3neg, Tconv naive_total, CD8 RO CCR5_CD3, Tconv memCD27_mem, CD8 RO intB7_CD8, CD8pos_CD3, CD8  RO Ki67_CD3, Tconv naive_CD3, CD4 Tconv_total, CD8 RO_CD3, CD8 RO TIGIT_CD3, CD16mono_myeloid"
ElasticNet_Lenient_t40,RandomForest,13.725,0.648611111111111,0.14216537300616117,0.6202552540052539,0.14124639948555365,0.5020038295038296,0.18042133816295675,0.6333333333333334,0.11497553313367682,0.5420436507936508,0.17969054086453878,0.4875,0.2080553701230445,0.7305555555555555,0.12552517091940688,15,"Bcells CD27negIgDneg_total, CD8pos_CD3, CD8 RA_CD3, CD8 RO CCR5_CD3, CD3hi_CD4neg, CD3hi_total, CD8 RO CCR5_total, Bcells memory_total, Tconv memCXCR3_CD3, CCR4_CD8RO, NKCD56hi_nonTnonB, CD16mono_myeloid, CD8 RA_total, CD8 RO CXCR3_CD3, CD16mono_CD3neg"
ElasticNet_RFE_t40,RandomForest,9.55,0.6398148148148148,0.14434213631553952,0.603101979039479,0.1404981016528242,0.4939066489066489,0.19949534107687142,0.63,0.12535988080362756,0.530704365079365,0.20772677923984967,0.4833333333333334,0.22582548792629897,0.7277777777777777,0.13998145764242267,11,"Bcells CD27negIgDneg_total, CD8 RA_CD3, CD8 RO CXCR3_CD3, Tconv memKi67_mem, Tconv memPD1_mem, CD16mono_myeloid, CD4 Tconv_total, Treg memory_CD4, NK Ki67_NK, CD14mono_myeloid, CD8pos_CD3"
Mutual Information (Top 10%)_t50,LogisticRegression,5.025,0.6365740740740741,0.13417531842333644,0.6057252469752469,0.12423183929610983,0.46664363414363413,0.1897795134915127,0.6266666666666667,0.10217018370711897,0.5194642857142857,0.21273085161214747,0.4416666666666666,0.201666843257675,0.75,0.13952844202832912,4,"CD27IgD_Bcells, CD8pos_CD3, Tconv memCXCR3_Tconv, Treg naive_CD4"
NaiveBayes_Permutation_AboveMean_t60,RandomForest,13.95,0.6354166666666666,0.13419067737833051,0.6121447302697302,0.12411147652037871,0.48865606615606616,0.15266896461626525,0.63,0.10562525813788648,0.5589781746031746,0.16647072342126878,0.45833333333333337,0.18002057495577392,0.7444444444444445,0.1263107911241789,11,"Bcells CD27posIgDneg_total, Bcells memory_total, Bcells memory_CD3neg, CD8 RO CCR5_CD3, CD8 RA naive_CD3, CD14+16+mono_total, NK Ki67_NK, CD14mono_myeloid, Tconv memCXCR3_total, NKCD56hi_NK, CD3hi_total"
NaiveBayes_Permutation_Top10%_t40,RandomForest,14.4,0.6342592592592593,0.12626205070518334,0.6021967846967847,0.11725297578439177,0.45887404262404263,0.14742002792110062,0.6083333333333333,0.10148470475468359,0.5156845238095238,0.14485148595780825,0.4291666666666666,0.16831450347421661,0.7277777777777777,0.1231382405028486,10,"Bcells CD27posIgDneg_total, Bcells memory_total, Bcells memory_CD3neg, CD14+16+mono_total, Tconv memCXCR3_total, NKCD56hi_NK, Tconv memCXCR3_Tconv, CD3hi_total, CD14mono_myeloid, CD3hi_CD3"
mRMR (Top 10%)_t60,NaiveBayes,5.35,0.6314814814814815,0.12718492467621292,0.6211580549080549,0.13270246727699608,0.531737567987568,0.1326519403819009,0.6133333333333334,0.10589464204422816,0.5283730158730159,0.14014468033516544,0.5666666666666667,0.1917084681283974,0.6444444444444444,0.15753723487968146,7,"CD14mono_myeloid, CD8 RO CCR5_CD3, CD16mono_myeloid, CD3pos_total, CD3neg_total, CD8 RO CCR5_CD8, CD4 Tconv_total"
LASSO_Lenient_t40,RandomForest,9.675,0.625925925925926,0.1394937761848752,0.5874240921115921,0.13805527060876258,0.4588675213675214,0.17808619346176574,0.6033333333333333,0.12352837430833152,0.5045833333333334,0.19455031774975975,0.4375,0.19497790071282892,0.7138888888888889,0.15487743931652354,12,"Bcells CD27negIgDneg_total, CD8 RA_CD3, CD8 RO CCR5_CD3, CD3hi_CD4neg, CD8 RO CCR5_total, Tconv memCXCR3_CD3, CD8pos_CD3, CCR4_CD8RO, NKCD56hi_nonTnonB, CD16mono_myeloid, CD16mono_CD3neg, CD8 RO CXCR3_CD3"
Ridge_Strict_t70,SVM_RBF,31.4,0.625925925925926,0.1360310603084711,0.6293741559366559,0.1256472881767217,0.500845682095682,0.1958299592883367,0.6633333333333333,0.1077614755491758,0.5976488095238095,0.2360939221998633,0.4541666666666666,0.20668148554535906,0.8027777777777777,0.1319191383739514,26,"Bcells CD27posIgDneg_total, Bcells CD27negIgDneg_total, Tconv memKi67_CD3, CD4neg_CD3, CD8pos_CD3, CD8 RO TIGIT_CD3, Tconv memCCR6_Tconv, Tconv memKi67_Tconv, Tconv memTIGIT_Tconv, Tconv memCCR6_mem, Tconv memPD1_mem, Tconv memTIGIT_mem, CD8 RO CXCR3_CD8, CD8 RO DR_CD8, CD8 RO Ki67_CD8, CCR4_CD8RO, DR_CD8RO, Ki67_CD8RO, Bcells naive_CD3neg, CD14mono_myeloid, CD16mono_myeloid, CD27IgD_Bcells, CD27negIgDneg_Bcells, Bcells memory_total, CD16mono_CD3neg, CD8 ncytotox RO CCR4_CD8ntox"
NaiveBayes_Permutation_AboveMean_t70,RandomForest,8.775,0.6219907407407408,0.15490706611136237,0.5903522519147518,0.13638188229505607,0.48457930957930956,0.16366535172407987,0.6133333333333333,0.13604088542464912,0.5496130952380952,0.21806052935673823,0.4541666666666666,0.1687371394276382,0.7194444444444444,0.17063184444132506,8,"Bcells CD27posIgDneg_total, Bcells memory_total, Bcells memory_CD3neg, NKCD56hi_NK, Tconv memCXCR3_total, Tconv memCXCR3_Tconv, Tconv memCXCR3_CD3, CD27negIgDneg_Bcells"
NaiveBayes_Permutation_Top10%_t50,RandomForest,9.4,0.6145833333333334,0.15202500232873523,0.581383732008732,0.12923541130993477,0.4248641636141636,0.15251641634927293,0.5900000000000001,0.10944043118157008,0.502718253968254,0.1833154171721368,0.3916666666666666,0.17109501533798194,0.7222222222222221,0.1551072089893584,12,"Bcells CD27posIgDneg_total, Bcells memory_total, Bcells memory_CD3neg, NKCD56hi_NK, Tconv memCXCR3_total, Treg naive_total, CD27negIgDneg_Bcells, NKCD16_NK, CD3hi_total, Tconv memCXCR3_Tconv, Tconv memCXCR3_CD3, Tconv naive_total"
Ridge_Strict_t80,LogisticRegression,19.5,0.611574074074074,0.13343930446386876,0.600145652958153,0.1242229443079814,0.5155186112906701,0.1516663937807738,0.5966666666666667,0.11882616765535325,0.5034370490620491,0.13337836971537306,0.5583333333333333,0.20861092617242877,0.6222222222222222,0.16267781320301594,15,"Bcells CD27posIgDneg_total, CD4neg_CD3, CD8 RO TIGIT_CD3, Tconv memTIGIT_Tconv, Tconv memPD1_mem, Tconv memTIGIT_mem, CD8 RO CXCR3_CD8, CD8 RO DR_CD8, CCR4_CD8RO, DR_CD8RO, Ki67_CD8RO, CD14mono_myeloid, CD16mono_myeloid, CD27IgD_Bcells, CD8 ncytotox RO CCR4_CD8ntox"
LASSO_RFE_t40,SVM_RBF,6.775,0.610648148148148,0.1292891676079268,0.5755495314870315,0.11638642031381491,0.43501505439005433,0.16155687231284926,0.5900000000000001,0.09613618071342984,0.47649801587301593,0.17241287439803707,0.41666666666666663,0.18100699644912283,0.7055555555555555,0.13677884354601547,5,"Bcells CD27posIgDneg_total, CD27IgD_Bcells, CD8 RO TIGIT_CD3, CD16mono_myeloid, CCR4_CD8RO"
NaiveBayes_Permutation_AboveMean_t80,SVM_RBF,4.85,0.6087962962962963,0.1665974056783888,0.6001234413734414,0.14994672069941664,0.24239860629566518,0.22330795439545706,0.5716666666666667,0.101147265068163,0.31709776334776335,0.3072043969963695,0.225,0.23433849430797732,0.8027777777777778,0.21124976703160767,3,"Bcells CD27posIgDneg_total, Bcells memory_total, Bcells memory_CD3neg"
NaiveBayes_Permutation_Top10%_t60,RandomForest,5.775,0.58125,0.1868807408322486,0.5574419793169794,0.16356552045845185,0.4672116772116772,0.188447163819175,0.5833333333333334,0.1414213562373095,0.4973015873015873,0.23300525624602297,0.4708333333333333,0.20976007186613888,0.6583333333333333,0.1803719206424658,8,"Bcells CD27posIgDneg_total, Bcells naive_total, Bcells naive_CD3neg, CD8 RO DR_total, CD8 RO DR_CD3, Tconv memCD56_mem, Tconv memCD56_Tconv, Tconv memCD56_CD3"
